"Symbol","Date","Close","52Hi","MktCap","Delta ErnQ1","Delta RevQ1","RevQ1","ErnQ1","Zax","Ind","Delta ErnQ2","Delta ErnF1","Delta EarnF2","PE F1","PE Ind","P/S","ESP","Avg Vol","Short"
"JNJ","1/23/18","140.56","144.35","380550","8.99","11.63","20210","1.72","3","80","5.68","8.20","7.76","17.74","17.4","5.03","0.03","5112502","2.43"
"JNPR","1/30/18","28.81","30.96","10800","-21.80","-10.63","1240","0.52","4","100","-9.68","0.41","1.98","13.41","13.1","2.08","1.72","3143386","2.73"
"JOY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"JPM","1/12/18","108.06","108.46","363140","-0.88","7.30","25080","1.70","3","32","17.17","11.75","11.10","14.05","16.5","3.35","-0.41","11877766","2.03"
"JWN","2/22/18","48.65","50.32","7490","-12.57","6.16","4580","1.20","3","53","-12.79","-7.74","-0.04","16.95","24.4","0.54","-0.09","1635491","7.23"
"KBH","1/10/18","33.64","32.48","2660","91.88","13.89","1360","0.77","3","165","84.45","57.71","23.00","14.82","16.5","0.67","1.63","1518343","5.25"
"KCG","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"KEY","1/18/18","20.24","20.58","20990","16.87","2.06","1590","0.36","2","32","10.55","18.14","14.55","13.43","16.5","3.2","-0.64","7351535","1.33"
"KGC","2/21/18","4.46","4.91","5060","190.00","-6.83","841.18","0.04","3","57","16.67","79.69","0.87","30.90","26.4","1.65","-25.93","7147652","0.01"
"KMI","1/17/18","18.96","23.01","39840","-6.77","-1.92","3320","0.18","3","185","3.53","-3.25","10.07","26.75","26.9","3.12","-0.27","12772213","3.9"
"KO","2/13/18","45.44","47.48","196120","3.90","-21.83","7360","0.38","3","224","5.58","-0.24","5.15","22.73","98.6","5.2","1.45","8757712","N/A"
"LEN","1/10/18","67.23","64.85","14380","11.66","7.17","3620","1.50","4","165","41.53","-6.87","32.17","13.40","16.5","1.25","0.92","2547643","0"
"LLY","1/30/18","85.14","89.09","95240","13.42","3.52","5960","1.08","3","80","8.16","19.58","10.50","18.21","17.4","4.15","0.23","3063343","3.36"
